Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
205,0.8935,0.9050,0.9812,0.9812,0.8327,0.1837,0.3251
206,0.8938,0.9052,0.9812,0.9812,0.8328,0.1833,0.3246
207,0.8940,0.9053,0.9812,0.9812,0.8330,0.1829,0.3240
208,0.8943,0.9055,0.9812,0.9812,0.8332,0.1825,0.3235
209,0.8945,0.9056,0.9812,0.9812,0.8334,0.1822,0.3230
210,0.8948,0.9058,0.9812,0.9812,0.8336,0.1818,0.3225
211,0.8950,0.9060,0.9812,0.9812,0.8338,0.1815,0.3220
212,0.8953,0.9061,0.9828,0.9812,0.8339,0.1811,0.3215
213,0.8955,0.9062,0.9828,0.9812,0.8341,0.1808,0.3210
214,0.8957,0.9064,0.9828,0.9812,0.8342,0.1804,0.3205
215,0.8960,0.9065,0.9828,0.9812,0.8344,0.1801,0.3201
216,0.8962,0.9066,0.9828,0.9812,0.8346,0.1798,0.3196
217,0.8964,0.9068,0.9828,0.9812,0.8347,0.1794,0.3191
218,0.8966,0.9069,0.9828,0.9812,0.8349,0.1791,0.3187
219,0.8969,0.9070,0.9828,0.9812,0.8350,0.1788,0.3182
220,0.8971,0.9071,0.9828,0.9812,0.8352,0.1785,0.3178
221,0.8973,0.9073,0.9828,0.9812,0.8354,0.1782,0.3174
222,0.8975,0.9074,0.9828,0.9812,0.8355,0.1779,0.3169
223,0.8977,0.9075,0.9828,0.9812,0.8357,0.1775,0.3165
224,0.8979,0.9076,0.9828,0.9812,0.8359,0.1772,0.3161
225,0.8981,0.9077,0.9828,0.9812,0.8361,0.1769,0.3157
226,0.8983,0.9078,0.9828,0.9812,0.8362,0.1766,0.3153
227,0.8986,0.9079,0.9828,0.9812,0.8364,0.1764,0.3149
228,0.8988,0.9080,0.9828,0.9812,0.8366,0.1761,0.3145
229,0.8990,0.9081,0.9828,0.9812,0.8368,0.1758,0.3141
230,0.8992,0.9082,0.9828,0.9812,0.8369,0.1755,0.3138
231,0.8994,0.9083,0.9828,0.9812,0.8371,0.1752,0.3134
232,0.8996,0.9084,0.9828,0.9812,0.8373,0.1749,0.3130
233,0.8997,0.9085,0.9828,0.9812,0.8375,0.1747,0.3127
