Epoch,train_sat,test_sat,train_accuracy,test_accuracy
356,0.6170,0.6171,0.8200,0.6600
357,0.6181,0.6173,0.8200,0.6600
358,0.6192,0.6174,0.8200,0.6400
359,0.6203,0.6176,0.8000,0.6400
360,0.6214,0.6177,0.8000,0.6400
361,0.6225,0.6178,0.8000,0.6400
362,0.6236,0.6179,0.8000,0.6400
363,0.6247,0.6180,0.8200,0.6400
364,0.6258,0.6181,0.8200,0.6400
365,0.6269,0.6181,0.8200,0.6400
366,0.6280,0.6182,0.8200,0.6400
367,0.6290,0.6182,0.8200,0.6400
368,0.6301,0.6182,0.8200,0.6400
369,0.6312,0.6182,0.8200,0.6400
370,0.6323,0.6182,0.8200,0.6400
371,0.6333,0.6182,0.8200,0.6400
372,0.6344,0.6181,0.8200,0.6400
373,0.6354,0.6181,0.8400,0.6400
374,0.6365,0.6180,0.8400,0.6400
375,0.6375,0.6179,0.8400,0.6400
376,0.6385,0.6178,0.8400,0.6400
377,0.6395,0.6178,0.8400,0.6400
378,0.6405,0.6177,0.8400,0.6400
379,0.6415,0.6175,0.8400,0.6400
380,0.6425,0.6174,0.8400,0.6400
381,0.6434,0.6173,0.8400,0.6400
382,0.6444,0.6172,0.8400,0.6400
383,0.6453,0.6170,0.8400,0.6400
384,0.6463,0.6169,0.8400,0.6400
385,0.6472,0.6167,0.8400,0.6400
386,0.6481,0.6165,0.8400,0.6400
387,0.6490,0.6164,0.8400,0.6400
388,0.6498,0.6162,0.8400,0.6400
389,0.6507,0.6160,0.8400,0.6400
390,0.6516,0.6159,0.8400,0.6400
391,0.6524,0.6157,0.8400,0.6400
392,0.6532,0.6155,0.8400,0.6400
393,0.6540,0.6153,0.8400,0.6400
394,0.6548,0.6151,0.8400,0.6400
395,0.6556,0.6149,0.8400,0.6400
396,0.6564,0.6148,0.8600,0.6400
397,0.6571,0.6146,0.8600,0.6400
398,0.6579,0.6144,0.8600,0.6400
399,0.6586,0.6142,0.8800,0.6400
400,0.6593,0.6140,0.8800,0.6600
401,0.6600,0.6138,0.8800,0.6600
402,0.6607,0.6136,0.8800,0.6600
403,0.6614,0.6134,0.8800,0.6600
404,0.6621,0.6133,0.8800,0.6600
405,0.6628,0.6131,0.8800,0.6600
406,0.6634,0.6129,0.8800,0.6600
407,0.6640,0.6127,0.8800,0.6600
408,0.6647,0.6125,0.8800,0.6600
409,0.6653,0.6124,0.8800,0.6600
410,0.6659,0.6122,0.8800,0.6600
411,0.6665,0.6120,0.8800,0.6600
412,0.6671,0.6118,0.8800,0.6600
413,0.6676,0.6117,0.8800,0.6600
414,0.6682,0.6115,0.8800,0.6600
415,0.6688,0.6114,0.8800,0.6600
416,0.6693,0.6112,0.8800,0.6600
417,0.6698,0.6110,0.8800,0.6600
418,0.6704,0.6109,0.8800,0.6600
419,0.6709,0.6107,0.8800,0.6600
420,0.6714,0.6106,0.8800,0.6600
421,0.6719,0.6104,0.8800,0.6600
422,0.6724,0.6103,0.8800,0.6600
423,0.6729,0.6101,0.8800,0.6600
424,0.6734,0.6100,0.8800,0.6600
425,0.6738,0.6099,0.8800,0.6600
426,0.6743,0.6097,0.8800,0.6600
427,0.6747,0.6096,0.8800,0.6600
428,0.6752,0.6095,0.8800,0.6600
429,0.6756,0.6093,0.8800,0.6600
430,0.6761,0.6092,0.8800,0.6600
431,0.6765,0.6091,0.8800,0.6600
432,0.6769,0.6090,0.8800,0.6600
433,0.6774,0.6089,0.8800,0.6600
434,0.6778,0.6088,0.8800,0.6600
435,0.6782,0.6086,0.8800,0.6600
436,0.6786,0.6085,0.8800,0.6600
437,0.6790,0.6084,0.8800,0.6600
438,0.6794,0.6083,0.8800,0.6600
439,0.6797,0.6082,0.8800,0.6600
440,0.6801,0.6081,0.8800,0.6600
441,0.6805,0.6081,0.8800,0.6600
442,0.6809,0.6080,0.8800,0.6600
443,0.6812,0.6079,0.8800,0.6600
444,0.6816,0.6078,0.8800,0.6600
445,0.6820,0.6077,0.8800,0.6600
446,0.6823,0.6076,0.8800,0.6600
447,0.6827,0.6076,0.8800,0.6600
448,0.6830,0.6075,0.8800,0.6600
449,0.6834,0.6074,0.8800,0.6600
450,0.6837,0.6073,0.8800,0.6600
451,0.6840,0.6073,0.8800,0.6600
452,0.6844,0.6072,0.8800,0.6600
453,0.6847,0.6072,0.8800,0.6600
454,0.6850,0.6071,0.8800,0.6600
455,0.6853,0.6071,0.8800,0.6600
456,0.6857,0.6070,0.8800,0.6600
457,0.6860,0.6070,0.8800,0.6600
458,0.6863,0.6069,0.8800,0.6600
459,0.6866,0.6069,0.8800,0.6600
460,0.6869,0.6069,0.8800,0.6600
461,0.6872,0.6068,0.8800,0.6600
462,0.6875,0.6068,0.8800,0.6600
463,0.6878,0.6068,0.8800,0.6600
464,0.6881,0.6067,0.8800,0.6600
465,0.6884,0.6067,0.8800,0.6600
466,0.6887,0.6067,0.8800,0.6600
467,0.6890,0.6067,0.8800,0.6600
468,0.6893,0.6067,0.8800,0.6600
469,0.6896,0.6067,0.8800,0.6600
470,0.6899,0.6067,0.8800,0.6600
471,0.6902,0.6067,0.8800,0.6600
472,0.6905,0.6067,0.8800,0.6600
473,0.6908,0.6068,0.8800,0.6600
474,0.6911,0.6068,0.8800,0.6600
475,0.6914,0.6068,0.8800,0.6600
476,0.6917,0.6068,0.8800,0.6600
477,0.6920,0.6069,0.8800,0.6600
478,0.6923,0.6069,0.8800,0.6600
479,0.6926,0.6070,0.8800,0.6600
480,0.6929,0.6070,0.8800,0.6600
481,0.6932,0.6071,0.8800,0.6600
482,0.6935,0.6072,0.8800,0.6600
483,0.6938,0.6072,0.8800,0.6600
484,0.6941,0.6073,0.8800,0.6600
485,0.6944,0.6074,0.8800,0.6600
486,0.6947,0.6075,0.8800,0.6600
487,0.6950,0.6076,0.8800,0.6600
488,0.6954,0.6077,0.8800,0.6600
489,0.6957,0.6078,0.8800,0.6600
490,0.6960,0.6080,0.8800,0.6600
491,0.6963,0.6081,0.9000,0.6600
492,0.6966,0.6082,0.9000,0.6600
493,0.6970,0.6084,0.9000,0.6600
494,0.6973,0.6085,0.9000,0.6600
495,0.6976,0.6087,0.9000,0.6600
496,0.6980,0.6089,0.9000,0.6600
497,0.6983,0.6090,0.9000,0.6600
498,0.6986,0.6092,0.9000,0.6600
499,0.6990,0.6094,0.9000,0.6600
500,0.6993,0.6096,0.9000,0.6600
501,0.6996,0.6098,0.9000,0.6600
502,0.7000,0.6100,0.9000,0.6600
503,0.7003,0.6102,0.9000,0.6600
504,0.7006,0.6104,0.9000,0.6600
505,0.7010,0.6106,0.9000,0.6600
506,0.7013,0.6108,0.9000,0.6600
507,0.7016,0.6110,0.9000,0.6600
508,0.7020,0.6113,0.9000,0.6600
509,0.7023,0.6115,0.9000,0.6600
510,0.7026,0.6117,0.9000,0.6600
511,0.7030,0.6119,0.9000,0.6600
512,0.7033,0.6121,0.9000,0.6600
513,0.7036,0.6123,0.9200,0.6600
514,0.7040,0.6125,0.9200,0.6600
515,0.7043,0.6128,0.9200,0.6800
516,0.7046,0.6130,0.9200,0.6800
517,0.7050,0.6132,0.9200,0.6800
518,0.7053,0.6134,0.9200,0.6800
519,0.7056,0.6136,0.9200,0.6800
520,0.7059,0.6138,0.9200,0.6800
521,0.7063,0.6140,0.9200,0.6800
522,0.7066,0.6143,0.9200,0.6800
523,0.7069,0.6145,0.9200,0.6800
524,0.7073,0.6147,0.9200,0.6800
525,0.7076,0.6149,0.9200,0.6800
526,0.7079,0.6151,0.9200,0.6800
527,0.7082,0.6153,0.9200,0.7000
528,0.7085,0.6155,0.9200,0.7000
529,0.7089,0.6157,0.9200,0.7000
530,0.7092,0.6159,0.9200,0.7000
531,0.7095,0.6161,0.9200,0.7000
532,0.7098,0.6163,0.9200,0.7000
533,0.7101,0.6164,0.9200,0.7000
534,0.7104,0.6166,0.9200,0.7000
