Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
214,0.8883,0.8992,0.9828,0.9812,0.7618,0.1662,0.3007
215,0.8885,0.8993,0.9828,0.9812,0.7620,0.1660,0.3004
216,0.8888,0.8995,0.9828,0.9812,0.7616,0.1656,0.2999
217,0.8890,0.8996,0.9828,0.9812,0.7620,0.1655,0.2997
218,0.8892,0.8997,0.9828,0.9812,0.7620,0.1653,0.2993
219,0.8894,0.8998,0.9828,0.9812,0.7619,0.1650,0.2990
220,0.8896,0.8999,0.9828,0.9812,0.7624,0.1649,0.2988
221,0.8897,0.9001,0.9828,0.9812,0.7624,0.1646,0.2984
222,0.8899,0.9002,0.9828,0.9812,0.7624,0.1643,0.2981
223,0.8901,0.9003,0.9828,0.9812,0.7624,0.1641,0.2978
224,0.8904,0.9004,0.9828,0.9812,0.7625,0.1639,0.2975
225,0.8905,0.9005,0.9812,0.9812,0.7626,0.1637,0.2973
226,0.8908,0.9006,0.9812,0.9812,0.7627,0.1634,0.2971
227,0.8910,0.9006,0.9812,0.9812,0.7631,0.1632,0.2970
228,0.8912,0.9007,0.9812,0.9812,0.7634,0.1631,0.2969
229,0.8914,0.9008,0.9828,0.9812,0.7633,0.1629,0.2966
230,0.8916,0.9008,0.9828,0.9812,0.7631,0.1627,0.2963
231,0.8918,0.9010,0.9828,0.9812,0.7632,0.1625,0.2961
232,0.8920,0.9011,0.9828,0.9812,0.7633,0.1623,0.2958
233,0.8921,0.9012,0.9828,0.9812,0.7634,0.1621,0.2956
234,0.8923,0.9013,0.9828,0.9812,0.7638,0.1619,0.2953
235,0.8925,0.9014,0.9828,0.9812,0.7640,0.1616,0.2951
236,0.8927,0.9014,0.9828,0.9812,0.7643,0.1614,0.2949
237,0.8929,0.9015,0.9828,0.9812,0.7645,0.1612,0.2948
238,0.8930,0.9016,0.9828,0.9812,0.7647,0.1610,0.2945
239,0.8932,0.9017,0.9828,0.9812,0.7650,0.1608,0.2943
240,0.8934,0.9018,0.9828,0.9812,0.7652,0.1606,0.2941
241,0.8935,0.9019,0.9828,0.9812,0.7653,0.1604,0.2939
242,0.8937,0.9019,0.9812,0.9812,0.7653,0.1602,0.2937
243,0.8939,0.9020,0.9828,0.9812,0.7657,0.1600,0.2934
244,0.8941,0.9021,0.9812,0.9812,0.7656,0.1598,0.2933
245,0.8942,0.9022,0.9812,0.9812,0.7659,0.1596,0.2930
246,0.8944,0.9022,0.9812,0.9812,0.7661,0.1595,0.2929
247,0.8946,0.9023,0.9812,0.9812,0.7662,0.1593,0.2926
248,0.8947,0.9024,0.9812,0.9812,0.7663,0.1591,0.2925
249,0.8949,0.9024,0.9812,0.9812,0.7665,0.1589,0.2923
250,0.8950,0.9025,0.9812,0.9812,0.7665,0.1588,0.2920
251,0.8952,0.9025,0.9812,0.9812,0.7666,0.1586,0.2918
252,0.8953,0.9026,0.9812,0.9812,0.7668,0.1584,0.2916
253,0.8955,0.9027,0.9812,0.9812,0.7669,0.1582,0.2914
254,0.8956,0.9027,0.9812,0.9812,0.7671,0.1581,0.2913
255,0.8958,0.9028,0.9812,0.9812,0.7673,0.1579,0.2911
256,0.8959,0.9028,0.9812,0.9812,0.7673,0.1578,0.2909
257,0.8961,0.9029,0.9812,0.9812,0.7675,0.1576,0.2907
258,0.8962,0.9029,0.9812,0.9812,0.7676,0.1574,0.2906
259,0.8963,0.9030,0.9812,0.9812,0.7677,0.1573,0.2904
260,0.8966,0.9030,0.9812,0.9812,0.7677,0.1570,0.2902
261,0.8967,0.9032,0.9828,0.9812,0.7681,0.1569,0.2902
262,0.8968,0.9032,0.9828,0.9812,0.7686,0.1567,0.2901
263,0.8970,0.9033,0.9828,0.9812,0.7685,0.1565,0.2899
264,0.8971,0.9033,0.9828,0.9812,0.7685,0.1564,0.2897
265,0.8973,0.9033,0.9828,0.9812,0.7686,0.1563,0.2896
266,0.8974,0.9034,0.9828,0.9812,0.7685,0.1561,0.2894
267,0.8975,0.9034,0.9828,0.9812,0.7686,0.1560,0.2892
268,0.8977,0.9034,0.9828,0.9812,0.7688,0.1558,0.2891
269,0.8978,0.9037,0.9828,0.9812,0.7690,0.1557,0.2890
270,0.8979,0.9038,0.9828,0.9812,0.7691,0.1555,0.2888
271,0.8981,0.9038,0.9828,0.9812,0.7694,0.1553,0.2887
272,0.8983,0.9038,0.9828,0.9812,0.7694,0.1551,0.2885
273,0.8984,0.9038,0.9828,0.9812,0.7697,0.1550,0.2885
274,0.8986,0.9039,0.9828,0.9812,0.7703,0.1548,0.2884
275,0.8987,0.9039,0.9844,0.9812,0.7702,0.1546,0.2883
276,0.8989,0.9039,0.9844,0.9812,0.7703,0.1545,0.2881
277,0.8990,0.9040,0.9844,0.9812,0.7704,0.1544,0.2880
278,0.8991,0.9040,0.9828,0.9812,0.7702,0.1543,0.2878
279,0.8992,0.9040,0.9828,0.9812,0.7702,0.1542,0.2876
280,0.8994,0.9041,0.9828,0.9812,0.7704,0.1541,0.2875
281,0.8995,0.9041,0.9828,0.9812,0.7706,0.1540,0.2873
282,0.8996,0.9041,0.9828,0.9812,0.7707,0.1538,0.2872
283,0.8997,0.9042,0.9828,0.9812,0.7709,0.1537,0.2871
284,0.8999,0.9042,0.9828,0.9812,0.7710,0.1536,0.2869
285,0.9000,0.9042,0.9844,0.9812,0.7711,0.1535,0.2868
286,0.9001,0.9042,0.9859,0.9812,0.7712,0.1534,0.2866
287,0.9002,0.9042,0.9859,0.9812,0.7713,0.1533,0.2865
288,0.9003,0.9043,0.9859,0.9812,0.7713,0.1532,0.2864
289,0.9005,0.9043,0.9859,0.9812,0.7715,0.1531,0.2863
290,0.9006,0.9043,0.9859,0.9812,0.7716,0.1530,0.2862
291,0.9007,0.9043,0.9859,0.9812,0.7718,0.1529,0.2861
292,0.9008,0.9043,0.9859,0.9812,0.7719,0.1528,0.2860
293,0.9009,0.9043,0.9859,0.9812,0.7720,0.1527,0.2859
294,0.9011,0.9043,0.9859,0.9812,0.7721,0.1526,0.2857
295,0.9012,0.9043,0.9859,0.9812,0.7722,0.1525,0.2856
296,0.9013,0.9043,0.9859,0.9812,0.7723,0.1524,0.2855
297,0.9014,0.9043,0.9859,0.9812,0.7725,0.1523,0.2855
298,0.9015,0.9043,0.9859,0.9812,0.7726,0.1522,0.2854
299,0.9016,0.9043,0.9859,0.9812,0.7727,0.1521,0.2853
300,0.9018,0.9043,0.9859,0.9812,0.7727,0.1520,0.2852
301,0.9019,0.9043,0.9859,0.9812,0.7729,0.1519,0.2851
302,0.9020,0.9043,0.9859,0.9812,0.7730,0.1518,0.2850
303,0.9021,0.9043,0.9859,0.9812,0.7731,0.1517,0.2849
304,0.9022,0.9043,0.9859,0.9812,0.7732,0.1516,0.2848
305,0.9023,0.9043,0.9859,0.9812,0.7734,0.1515,0.2847
306,0.9024,0.9043,0.9859,0.9812,0.7736,0.1514,0.2846
307,0.9025,0.9043,0.9859,0.9812,0.7737,0.1513,0.2845
308,0.9027,0.9043,0.9859,0.9812,0.7739,0.1512,0.2844
309,0.9028,0.9043,0.9859,0.9812,0.7741,0.1511,0.2844
310,0.9029,0.9043,0.9859,0.9812,0.7742,0.1510,0.2843
311,0.9030,0.9043,0.9859,0.9812,0.7744,0.1510,0.2842
312,0.9031,0.9043,0.9859,0.9812,0.7747,0.1509,0.2842
313,0.9032,0.9043,0.9859,0.9812,0.7749,0.1508,0.2841
314,0.9034,0.9043,0.9859,0.9812,0.7750,0.1507,0.2840
315,0.9035,0.9043,0.9859,0.9812,0.7752,0.1506,0.2839
316,0.9036,0.9043,0.9859,0.9812,0.7752,0.1505,0.2838
317,0.9037,0.9043,0.9859,0.9812,0.7752,0.1504,0.2837
318,0.9038,0.9043,0.9859,0.9812,0.7753,0.1503,0.2836
319,0.9039,0.9043,0.9859,0.9812,0.7754,0.1503,0.2835
320,0.9040,0.9043,0.9859,0.9812,0.7755,0.1502,0.2834
321,0.9041,0.9043,0.9859,0.9812,0.7757,0.1501,0.2834
322,0.9042,0.9043,0.9859,0.9812,0.7759,0.1500,0.2833
323,0.9043,0.9043,0.9859,0.9812,0.7760,0.1499,0.2832
324,0.9044,0.9043,0.9859,0.9812,0.7761,0.1498,0.2831
325,0.9045,0.9042,0.9859,0.9812,0.7760,0.1497,0.2830
326,0.9046,0.9042,0.9859,0.9812,0.7759,0.1496,0.2829
327,0.9047,0.9043,0.9859,0.9812,0.7761,0.1496,0.2828
328,0.9048,0.9043,0.9859,0.9812,0.7762,0.1495,0.2827
329,0.9049,0.9043,0.9859,0.9812,0.7761,0.1494,0.2826
330,0.9050,0.9043,0.9859,0.9812,0.7762,0.1493,0.2825
331,0.9051,0.9043,0.9859,0.9812,0.7763,0.1493,0.2824
332,0.9052,0.9043,0.9859,0.9812,0.7763,0.1492,0.2823
333,0.9053,0.9043,0.9859,0.9812,0.7763,0.1491,0.2822
334,0.9054,0.9043,0.9859,0.9812,0.7764,0.1490,0.2821
335,0.9055,0.9043,0.9859,0.9812,0.7765,0.1489,0.2820
336,0.9056,0.9043,0.9859,0.9812,0.7765,0.1488,0.2819
337,0.9057,0.9043,0.9859,0.9812,0.7766,0.1488,0.2818
338,0.9058,0.9043,0.9859,0.9812,0.7767,0.1487,0.2818
339,0.9059,0.9043,0.9859,0.9812,0.7768,0.1486,0.2817
340,0.9060,0.9044,0.9859,0.9812,0.7768,0.1485,0.2816
341,0.9061,0.9044,0.9859,0.9812,0.7769,0.1484,0.2815
342,0.9062,0.9044,0.9859,0.9812,0.7770,0.1483,0.2814
343,0.9063,0.9044,0.9859,0.9812,0.7770,0.1482,0.2813
344,0.9064,0.9044,0.9859,0.9812,0.7771,0.1482,0.2812
345,0.9065,0.9045,0.9859,0.9812,0.7771,0.1481,0.2811
346,0.9066,0.9045,0.9859,0.9812,0.7771,0.1480,0.2810
347,0.9067,0.9045,0.9859,0.9812,0.7772,0.1479,0.2809
348,0.9068,0.9045,0.9859,0.9812,0.7772,0.1478,0.2808
349,0.9069,0.9045,0.9859,0.9812,0.7772,0.1477,0.2807
350,0.9070,0.9046,0.9859,0.9812,0.7772,0.1476,0.2806
351,0.9071,0.9046,0.9859,0.9812,0.7773,0.1476,0.2804
352,0.9073,0.9045,0.9859,0.9812,0.7769,0.1474,0.2805
353,0.9073,0.9046,0.9859,0.9812,0.7773,0.1473,0.2803
354,0.9074,0.9046,0.9875,0.9812,0.7776,0.1473,0.2803
355,0.9075,0.9046,0.9875,0.9812,0.7776,0.1472,0.2803
356,0.9076,0.9046,0.9875,0.9812,0.7776,0.1471,0.2801
357,0.9077,0.9046,0.9875,0.9812,0.7774,0.1470,0.2801
358,0.9078,0.9046,0.9875,0.9812,0.7775,0.1470,0.2799
359,0.9079,0.9046,0.9875,0.9812,0.7773,0.1469,0.2798
360,0.9080,0.9047,0.9875,0.9812,0.7772,0.1468,0.2797
361,0.9080,0.9047,0.9875,0.9812,0.7773,0.1468,0.2796
362,0.9081,0.9047,0.9875,0.9812,0.7773,0.1467,0.2795
363,0.9082,0.9047,0.9875,0.9812,0.7773,0.1466,0.2794
364,0.9083,0.9047,0.9875,0.9812,0.7772,0.1465,0.2793
365,0.9084,0.9048,0.9875,0.9812,0.7772,0.1465,0.2792
366,0.9085,0.9048,0.9875,0.9812,0.7771,0.1464,0.2791
367,0.9086,0.9048,0.9875,0.9812,0.7771,0.1463,0.2790
368,0.9087,0.9048,0.9875,0.9812,0.7771,0.1463,0.2789
369,0.9088,0.9048,0.9875,0.9812,0.7771,0.1462,0.2788
370,0.9088,0.9049,0.9875,0.9812,0.7770,0.1461,0.2788
